TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21OCT40300PE,28/10/2021,219.30 Time:12:29,307.00 Time:01:52,25,-2192.50,SELL,SHORT_SL,-5872.50
BANKNIFTY21OCT40200PE,28/10/2021,238.20 Time:11:06,71.50 Time:11:48,25,4167.50,SELL,SHORT_TARGET,4167.50
BANKNIFTY21OCT40000CE,28/10/2021,178.85 Time:01:40,53.65 Time:02:09,25,3130.00,SELL,SHORT_TARGET,3130.00
BANKNIFTY21OCT40100PE,28/10/2021,197.10 Time:01:53,275.90 Time:02:04,25,-1970.00,SELL,SHORT_SL,-1970.00
BANKNIFTY21OCT40000PE,28/10/2021,188.60 Time:02:05,264.00 Time:02:48,25,-1885.00,SELL,SHORT_SL,-1885.00
BANKNIFTY21OCT39700CE,28/10/2021,207.15 Time:02:10,290.05 Time:02:15,25,-2072.50,SELL,SHORT_SL,-2072.50
BANKNIFTY21OCT39900CE,28/10/2021,171.15 Time:02:16,51.35 Time:02:40,25,2995.00,SELL,SHORT_TARGET,2995.00
BANKNIFTY21OCT39800CE,28/10/2021,110.70 Time:02:41,33.20 Time:02:52,25,1937.50,SELL,SHORT_TARGET,1937.50
BANKNIFTY21OCT39800PE,28/10/2021,100.70 Time:02:49,141.00 Time:02:53,25,-1007.50,SELL,SHORT_SL,-1007.50
BANKNIFTY21OCT39600CE,28/10/2021,123.10 Time:02:53,36.90 Time:03:06,25,2155.00,SELL,SHORT_TARGET,2155.00
BANKNIFTY21OCT39700PE,28/10/2021,89.75 Time:02:54,125.65 Time:02:54,25,-897.50,SELL,SHORT_SL,-897.50
BANKNIFTY21OCT39700PE,28/10/2021,129.70 Time:02:55,181.60 Time:02:55,25,-1297.50,SELL,SHORT_SL,-2195.00
BANKNIFTY21OCT39600PE,28/10/2021,106.35 Time:02:56,31.95 Time:03:00,25,1860.00,SELL,SHORT_TARGET,1860.00
BANKNIFTY21N0339000CE,29/10/2021,631.95 Time:09:17,884.75 Time:09:57,25,-6320.00,SELL,SHORT_SL,-6320.00
BANKNIFTY21N0339200PE,29/10/2021,545.05 Time:09:17,763.05 Time:09:20,25,-5450.00,SELL,SHORT_SL,-5450.00
BANKNIFTY21N0338800PE,29/10/2021,618.80 Time:09:21,185.60 Time:10:14,25,10830.00,SELL,SHORT_TARGET,10830.00
BANKNIFTY21N0339400CE,29/10/2021,614.90 Time:09:58,353.35 Time:03:26,25,6538.75,SELL,SQUAREOFF,6538.75
BANKNIFTY21N0339400CE,03/11/2021,175.50 Time:01:15,245.70 Time:01:42,25,-1755.00,SELL,SHORT_SL,4783.75
BANKNIFTY21N0339400CE,03/11/2021,129.75 Time:02:47,38.95 Time:03:02,25,2270.00,SELL,SHORT_TARGET,7053.75
BANKNIFTY21N0339700PE,29/10/2021,479.45 Time:10:15,671.25 Time:12:34,25,-4795.00,SELL,SHORT_SL,-4795.00
BANKNIFTY21N0339700PE,03/11/2021,217.45 Time:01:05,304.45 Time:01:14,25,-2175.00,SELL,SHORT_SL,-6970.00
BANKNIFTY21N0339700PE,03/11/2021,189.05 Time:02:18,264.65 Time:02:28,25,-1890.00,SELL,SHORT_SL,-8860.00
BANKNIFTY21N0339300PE,29/10/2021,437.35 Time:12:35,612.25 Time:02:09,25,-4372.50,SELL,SHORT_SL,-4372.50
BANKNIFTY21N0339000PE,29/10/2021,459.15 Time:02:10,266.30 Time:03:26,25,4821.25,SELL,SQUAREOFF,4821.25
BANKNIFTY21N0339300CE,01/11/2021,478.55 Time:09:17,669.95 Time:02:38,25,-4785.00,SELL,SHORT_SL,-4785.00
BANKNIFTY21N0339500PE,01/11/2021,383.55 Time:09:17,536.95 Time:09:23,25,-3835.00,SELL,SHORT_SL,-3835.00
BANKNIFTY21N0339500PE,03/11/2021,110.65 Time:02:46,154.95 Time:02:51,25,-1107.50,SELL,SHORT_SL,-4942.50
BANKNIFTY21N0339500PE,03/11/2021,150.15 Time:02:52,95.20 Time:03:26,25,1373.75,SELL,SQUAREOFF,-3568.75
BANKNIFTY21N0339400PE,01/11/2021,420.05 Time:09:24,126.05 Time:02:26,25,7350.00,SELL,SHORT_TARGET,7350.00
BANKNIFTY21N0339400PE,03/11/2021,158.85 Time:02:33,47.65 Time:02:42,25,2780.00,SELL,SHORT_TARGET,10130.00
BANKNIFTY21N0339900PE,01/11/2021,320.80 Time:02:27,227.20 Time:03:26,25,2340.00,SELL,SQUAREOFF,2340.00
BANKNIFTY21N0339900PE,03/11/2021,213.85 Time:12:00,299.35 Time:12:02,25,-2137.50,SELL,SHORT_SL,202.50
BANKNIFTY21N0339600CE,01/11/2021,429.50 Time:02:39,508.30 Time:03:26,25,-1970.00,SELL,SQUAREOFF,-1970.00
